"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:44.0250", "34.8690", "21.0320", "48.1240",  "F:ST - R:ST",     "0 ",  
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:45.9930", "34.6860", "21.1270", "50.1800",  "F:ST - R:ST",     "0 ",  
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:45.0520", "35.9370", "21.3210", "47.7940",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.6130", "34.3270", "20.8890", "48.3970",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:40.6090", "33.6490", "20.3710", "46.5890",  "F:ST - R:ST",     "0 ",  
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.5560", "34.1780", "20.9160", "47.4620",  "F:ST - R:ST",     "2  (0s e.t. <>  0s gain) ",  
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:43.7260", "34.4310", "21.1900", "48.1050",  "F:ST - R:ST",     "0 ",  
Average,,,"01:45.6688", "35.8365", "21.3842", "48.4481"
Best possible,,, "01:40.6090", "33.6490", "20.3710", "46.5890"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Miguel Soto"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:58.0380", "46.4700", "22.0850", "49.4830",  "F:ST - R:ST",     "1  (0s e.t. <>  0s gain) ",  
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:46.5820", "35.4150", "21.3570", "49.8100",  "F:ST - R:ST",     "0 ",  
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:46.3860", "35.8890", "21.1760", "49.3210",  "F:ST - R:ST",     "0 ",  
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:42.3200", "34.2980", "20.6280", "47.3940",  "F:ST - R:ST",     "0 ",  
