"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.6250", "19.9630", "23.3060", "26.3560",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.2470", "19.7610", "23.1290", "26.3570",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.2780", "19.7510", "23.0760", "26.4510",  "F:ST - R:ST",     
"16 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.4470", "19.6900", "23.0170", "26.7400",  "F:ST - R:ST",     
"17 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7580", "20.0200", "23.2110", "26.5270",  "F:ST - R:ST",     
"18 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.5100", "19.6090", "23.2690", "26.6320",  "F:ST - R:ST",     
Average,,,"01:10.9403", "20.7408", "23.7708", "26.4287"
Best possible,,, "01:07.8880", "19.5080", "22.6180", "25.7620"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Alexander Sze"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:29.6380", "32.1050", "24.7950", "32.7380",  "F:ST - R:ST",     
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:11.0690", "20.2330", "24.0890", "26.7470",  "F:ST - R:ST",     
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.2570", "19.8390", "23.5480", "26.8700",  "F:ST - R:ST",     
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.1630", "20.2580", "23.4090", "26.4960",  "F:ST - R:ST",     
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:12.3080", "21.7550", "22.9640", "27.5890",  "F:ST - R:ST",     
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.2980", "19.7580", "23.0480", "26.4920",  "F:ST - R:ST",     
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.9720", "20.0300", "23.3830", "26.5590",  "F:ST - R:ST",     
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.6400", "20.6360", "23.1980", "26.8060",  "F:ST - R:ST",     
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.6130", "19.8560", "22.9640", "26.7930",  "F:ST - R:ST",     
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:11.1460", "21.6370", "23.2920", "26.2170",  "F:ST - R:ST",     
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.1110", "19.6570", "23.2970", "27.1570",  "F:ST - R:ST",     
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.9720", "19.9270", "23.4850", "26.5600",  "F:ST - R:ST",     
"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.4700", "20.0960", "23.5270", "26.8470",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.1100", "20.0160", "23.4990", "26.5950",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.1810", "19.9300", "23.5170", "26.7340",  "F:ST - R:ST",     
"16 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.2840", "19.9150", "23.5710", "26.7980",  "F:ST - R:ST",     
"17 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.9110", "20.0970", "23.3900", "27.4240",  "F:ST - R:ST",     
"18 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.6000", "19.8450", "23.5160", "27.2390",  "F:ST - R:ST",     
Average,,,"01:11.4857", "20.8661", "23.4718", "27.1478"
Best possible,,, "01:08.8380", "19.6570", "22.9640", "26.2170"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Nahteyue"
"1 ", vrc_formula_lithium_2023_csp, no,"0", "01:34.7740", "31.1670", "24.8940", "38.7130",  "F:ST - R:ST",     
"2 ", vrc_formula_lithium_2023_csp, no,"0", "01:11.7490", "20.5170", "23.7640", "27.4680",  "F:ST - R:ST",     
"3 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.3490", "20.6110", "23.1710", "26.5670",  "F:ST - R:ST",     
"4 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.9310", "22.1650", "22.8020", "25.9640",  "F:ST - R:ST",     
"5 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.6990", "19.5780", "22.9140", "26.2070",  "F:ST - R:ST",     
"6 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.0360", "19.8970", "23.3680", "26.7710",  "F:ST - R:ST",     
"7 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7560", "19.9950", "23.1470", "26.6140",  "F:ST - R:ST",     
"8 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7360", "19.9700", "23.0720", "26.6940",  "F:ST - R:ST",     
"9 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.8100", "19.9180", "23.2830", "26.6090",  "F:ST - R:ST",     
"10 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.6810", "21.5590", "22.9810", "26.1410",  "F:ST - R:ST",     
"11 ", vrc_formula_lithium_2023_csp, no,"0", "01:08.6660", "19.4540", "22.7710", "26.4410",  "F:ST - R:ST",     
"12 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.7840", "19.8110", "23.3330", "26.6400",  "F:ST - R:ST",     
"13 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.9630", "19.9590", "23.2730", "26.7310",  "F:ST - R:ST",     
"14 ", vrc_formula_lithium_2023_csp, no,"0", "01:10.9820", "20.8930", "23.3960", "26.6930",  "F:ST - R:ST",     
"15 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.6400", "19.8570", "23.0710", "26.7120",  "F:ST - R:ST",     
"16 ", vrc_formula_lithium_2023_csp, no,"0", "01:09.9180", "20.0080", "23.1260", "26.7840",  "F:ST - R:ST",     
